Taxon	Pathway	KOs present (%)	Species within present KOs (% all species in this taxon)	KOs total	Species total
k__Bacteria,p__Firmicutes,c__Erysipelotrichia,o__Erysipelotrichales	ko00780	17.4	62.5	23.0	6.0
k__Bacteria,p__Firmicutes,c__Erysipelotrichia,o__Erysipelotrichales	ko00785	25.0	50.0	4.0	6.0
k__Bacteria,p__Firmicutes,c__Erysipelotrichia,o__Erysipelotrichales	ko00750	17.4	29.17	23.0	6.0
k__Bacteria,p__Firmicutes,c__Erysipelotrichia,o__Erysipelotrichales	ko00130	8.9	16.67	56.0	6.0
k__Bacteria,p__Firmicutes,c__Erysipelotrichia,o__Erysipelotrichales	ko00740	14.3	33.33	42.0	6.0
k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Lachnospiraceae,g__Roseburia	ko00790	7.4	83.33	54.0	3.0
k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Lachnospiraceae,g__Roseburia	ko00760	13.5	83.33	89.0	3.0
k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Lachnospiraceae,g__Roseburia	ko00730	36.4	94.44	33.0	3.0
k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Lachnospiraceae,g__Roseburia	ko00830	2.1	33.33	48.0	3.0
k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Lachnospiraceae,g__Roseburia	ko00770	37.8	92.86	37.0	3.0
k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Lachnospiraceae,g__Roseburia	ko00780	30.4	76.19	23.0	3.0
k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Lachnospiraceae,g__Roseburia	ko00785	0.0	0.0	4.0	3.0
k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Lachnospiraceae,g__Roseburia	ko00750	17.4	75.0	23.0	3.0
k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Lachnospiraceae,g__Roseburia	ko00130	3.6	33.33	56.0	3.0
k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Lachnospiraceae,g__Roseburia	ko00740	11.9	86.67	42.0	3.0
k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Streptococcaceae	ko00790	29.6	42.49	54.0	164.0
k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Streptococcaceae	ko00760	19.1	46.63	89.0	164.0
k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Streptococcaceae	ko00730	33.3	58.92	33.0	164.0
k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Streptococcaceae	ko00830	6.2	35.16	48.0	164.0
k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Streptococcaceae	ko00770	45.9	56.92	37.0	164.0
k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Streptococcaceae	ko00780	30.4	57.14	23.0	164.0
k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Streptococcaceae	ko00785	25.0	90.24	4.0	164.0
k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Streptococcaceae	ko00750	21.7	54.39	23.0	164.0
k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Streptococcaceae	ko00130	23.2	9.33	56.0	164.0
k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Streptococcaceae	ko00740	28.6	29.73	42.0	164.0
k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Ruminococcaceae	ko00790	31.5	32.06	54.0	20.0
k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Ruminococcaceae	ko00760	23.6	42.38	89.0	20.0
k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Ruminococcaceae	ko00730	45.5	70.33	33.0	20.0
k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Ruminococcaceae	ko00830	0.0	0.0	48.0	20.0
k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Ruminococcaceae	ko00770	54.1	53.5	37.0	20.0
k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Ruminococcaceae	ko00780	47.8	48.18	23.0	20.0
k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Ruminococcaceae	ko00785	50.0	10.0	4.0	20.0
k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Ruminococcaceae	ko00750	26.1	54.17	23.0	20.0
k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Ruminococcaceae	ko00130	7.1	6.25	56.0	20.0
k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Ruminococcaceae	ko00740	11.9	50.0	42.0	20.0
k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Ruminococcaceae,g__Ruminococcus,s__gnavus	ko00790	0.0	0.0	54.0	0.0
k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Ruminococcaceae,g__Ruminococcus,s__gnavus	ko00760	0.0	0.0	89.0	0.0
k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Ruminococcaceae,g__Ruminococcus,s__gnavus	ko00730	0.0	0.0	33.0	0.0
k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Ruminococcaceae,g__Ruminococcus,s__gnavus	ko00830	0.0	0.0	48.0	0.0
k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Ruminococcaceae,g__Ruminococcus,s__gnavus	ko00770	0.0	0.0	37.0	0.0
k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Ruminococcaceae,g__Ruminococcus,s__gnavus	ko00780	0.0	0.0	23.0	0.0
k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Ruminococcaceae,g__Ruminococcus,s__gnavus	ko00785	0.0	0.0	4.0	0.0
k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Ruminococcaceae,g__Ruminococcus,s__gnavus	ko00750	0.0	0.0	23.0	0.0
